113,Chansey,Normal,5,5,Naturalmente curioso|*|Cura natural
129,Magikarp,Agua,10,55,Impulso|*|Ninguna
011,Metapod,Bicho,20,55,Mudar
063,Abra,Psíquico,20,15,Sincronía|*|Foco interno
014,Kakuna,Bicho/Veneno,25,50,Mudar
010,Caterpie,Bicho,30,35,Polvo escudo|*|Enjambre
081,Magnemite,Eléctrico/Acero,35,70,Imán|*|Cabeza dura
092,Gastly,Fantasma/Veneno,35,30,Levitación|*|Ninguna
013,Weedle,Bicho/Veneno,35,30,Punto tóxico|*|Enjambre
064,Kadabra,Psíquico,35,30,Sincronía|*|Foco interno
072,Tentacool,Agua/Veneno,40,35,Cuerpo puro|*|Lodo líquido
116,Horsea,Agua,40,70,Nado rápido|*|Humedad
102,Exeggcute,Planta/Psíquico,40,80,Clorofila|*|Cosecha
138,Omanyte,Roca/Agua,40,100,Cabeza roca|*|Cura lluvia
037,Vulpix,Fuego,41,40,Mar llamas|*|Sequía
086,Seel,Agua,45,55,Refugio|*|Hidratación
041,Zubat,Veneno/Volador,45,35,Levitación
095,Onix,Roca/Tierra,45,160,Roca sólida|*|Cabeza roca
052,Meowth,Normal,45,35,Recogida|*|Flexibilidad
016,Pidgey,Normal/Volador,45,40,Keen Eye|*|Tangled Feet
035,Clefairy,Hada,45,48,Muro mágico|*|Gran encanto
120,Staryu,Agua,45,55,Iluminación|*|Cura natural
122,Mr. Mime,Psíquico/Hada,45,65,Francotirador|*|Foco interno
012,Butterfree,Bicho/Volador,45,50,Ojo compuesto|*|Enjambre
039,Jigglypuff,Normal/Hada,45,20,Gran encanto|*|Cura cuerpo
029,Nidoran?,Veneno,47,52,Velo polvo|*|Rivalidad
096,Drowzee,Psíquico,48,45,Insomnio|*|Foco interno
132,Ditto,Normal,48,48,Impostor|*|Ninguna
007,Squirtle,Agua,48,65,Torrente|*|Caparazón resistente
001,Bulbasaur,Planta/Veneno,49,49,Clorofila|*|Espesura
065,Alakazam,Psíquico,50,45,Sincronía|*|Foco interno
043,Oddish,Planta/Veneno,50,55,Clorofila|*|Clorofila
124,Jynx,Hielo/Psíquico,50,35,Análisis|*|Punto hielo
104,Cubone,Tierra,50,95,Cabeza roca|*|Armadura batalla
093,Haunter,Fantasma/Veneno,50,45,Levitación|*|Ninguna
060,Poliwag,Agua,50,40,Absorbe agua|*|Torrent
054,Psyduck,Agua,52,48,Despiste|*|Torrente
004,Charmander,Fuego,52,43,Mar llamas|*|Poder solar
048,Venonat,Bicho/Veneno,55,50,Compuesto de ojos|*|Tintín
050,Diglett,Tierra,55,25,Robustez|*|Arena movediza
108,Lickitung,Normal,55,75,Clorofila|*|Cura limo
025,Pikachu,Eléctrico,55,40,Electricidad estática|*|Sacudida
114,Tangela,Planta,55,115,Clorofila|*|Regeneración
